cultural_period;id;technocomplex;regionalTechnocomplex
Bronze Age;Bronze Age;NP/ Bronze Age;Eurasia
Chalcolithic;Chalcolithic;NP/ Chalcolithic;Eurasia
ESA;Acheulean - Africa;ESA/ Acheulean;Africa
ESA;Developed Oldowan - Africa;ESA/ Developed Oldowan;Africa
ESA;ESA;ESA;Africa
ESA;Early Acheulean - Africa;ESA/ Early Acheulean;Africa
ESA;Fauresmith;ESA/ Fauresmith;Southern African
ESA;KBS Industry;ESA/ KBS Industry;Central Africa
ESA;Karari Industry;ESA/ Karari Industry;Central Africa
ESA;Late Acheulean - Africa;ESA/ Late Acheulean;Africa
ESA;Middle Acheulean - Africa;ESA/ Middle Acheulean;Africa
ESA;Oldowan - Africa;ESA/ Oldowan;Africa
ESA;Victoria West;ESA/ Victoria West;Southern African
ESA/MSA;ESA/MSA;ESA/MSA;Southern African
ESA/MSA;Late Sangoan;ESA/ Late Sangoan;Central Africa
ESA/MSA;Lupemban;ESA/ Lupemban;Central Africa
ESA/MSA;Proto-Still Bay;ESA/ Proto-Still Bay;Central Africa
ESA/MSA;Sangoan;ESA/ Sangoan;Central Africa
Epipaleolithic;Epigravettian;EP/ Epigravettian;Europe
Epipaleolithic;Epipaleolithic;EP/ Epipaleolithic;Eurasia
Epipaleolithic;Geometric Kebaran;EP/ Geometric Kebaran;Levant
Epipaleolithic;Harifian;EP/ Harifian;Levant
Epipaleolithic;Iberomaurusian;EP/ Iberomaurusian;North Africa
Epipaleolithic;Kebaran;EP/ Kebaran;Levant
Epipaleolithic;Masraqan;EP/ Masraqan;Levant
Epipaleolithic;Mushabian;EP/ Mushabian;Levant
Epipaleolithic;Natufian;EP/ Natufian;Levant
Epipaleolithic;Nebekian;EP/ Nebekian;Levant
Epipaleolithic;Nizzanian;EP/ Nizzanian;Levant
Epipaleolithic;Oranian;EP/ Oranian;North Africa
Historic;Historic;NP/ Historic;Eurasia
Iron Age;Iron Age;NP/ Iron Age;Eurasia
LP/MP;LP/MP Transitional Industries;LP/MP Transition;Europe
LSA;Albany;LSA/ Albany;Southern African
LSA;Ceramic Wilton;LSA/ Ceramic Wilton;Southern African
LSA;ELSA;LSA/ ELSA;Southern African
LSA;Herder;LSA/ Herder;Southern African
LSA;Interior Wilton;LSA/ Interior Wilton;Southern African
LSA;LSA;LSA;Africa
LSA;Late Wilton;LSA/ Late Wilton;Southern African
LSA;Lockshoek;LSA/ Lockshoek;Southern African
LSA;Microlithic LSA;LSA;Central Africa
LSA;Oakhurst;LSA/ Oakhurst;Southern African
LSA;Post-Wilton;LSA/ Post-Wilton;Southern African
LSA;Robberg;LSA/ Robberg;Southern African
LSA;Smithfield;LSA/ Smithfield;Southern African
LSA;Smithfield A;LSA/ Smithfield A;Southern African
LSA;Smithfield B;LSA/ Smithfield B;Southern African
LSA;Smithfield C;LSA/ Smithfield C;Southern African
LSA;Smithfield General;LSA/ Smithfield General;Southern African
LSA;Smithfield N;LSA/ Smithfield N;Southern African
LSA;Smithfield P;LSA/ Smithfield P;Southern African
LSA;Strandloper;LSA/ Strandloper;Southern African
LSA;Wilton;LSA/ Wilton;Southern African
Lower Paleolithic;Acheulean - Europe;LP/ Acheulean - Europe;Europe
Lower Paleolithic;Acheulean - Levant;LP/ Acheulean - Levant;Levant
Lower Paleolithic;Acheulean - S Asia;LP/ Acheulean - S Asia;S Asia
Lower Paleolithic;Acheulo-Yabrudian;LP/ Acheulo-Yabrudian;Levant
Lower Paleolithic;Amudian;LP/ Amudian;Levant
Lower Paleolithic;Clactonian;LP/ Clactonian;Europe
Lower Paleolithic;Early Acheulean - Levant;LP/ Early Acheulean - Levant;Levant
Lower Paleolithic;Late Acheulean - E Asia;LP/ Late Acheulean - E Asia;E Asia
Lower Paleolithic;Late Acheulean - Levant;LP/ Late Acheulean - Levant;Levant
Lower Paleolithic;Late Acheulean - S Asia;LP/ Late Acheulean - S Asia;S Asia
Lower Paleolithic;Lower Paleolithic - Asia;LP/ Lower Paleolithic - Asia;Eurasia
Lower Paleolithic;Lower Paleolithic - E Asia;LP/ Lower Paleolithic - E Asia;E Asia
Lower Paleolithic;Lower Paleolithic - Europe;LP/ Lower Paleolithic - Europe;Europe
Lower Paleolithic;Lower Paleolithic - Levant;LP/ Lower Paleolithic - Levant;Levant
Lower Paleolithic;Lower Paleolithic - S Asia;LP/ Lower Paleolithic - S Asia;S Asia
Lower Paleolithic;Middle Acheulean - Levant;LP/ Middle Acheulean - Levant;Levant
Lower Paleolithic;Mugharan Tradition;LP/ Mugharan Tradition;Levant
Lower Paleolithic;Oldowan - Europe;LP/ Oldowan - Europe;Europe
Lower Paleolithic;Oldowan - Levant;LP/ Oldowan - Levant;Levant
Lower Paleolithic;Pre-Aurignacian - Levant;LP/ Pre-Aurignacian - Levant;Levant
Lower Paleolithic;Tayacian - do not use;LP/ Tayacian;Eurasia
Lower Paleolithic;Yabrudian;LP/ Yabrudian;Levant
MSA;Bambata;MSA/ Bambata;Southern African
MSA;Early MSA;MSA/ Early MSA;Africa
MSA;Early Pietersburg;MSA/ Early Pietersburg;Southern African
MSA;Final MSA;MSA/ Final MSA;Southern African
MSA;Glen Grey Falls;MSA/ Glen Grey Falls;Southern African
MSA;Howiesonspoort;MSA/ Howiesonspoort;Southern African
MSA;Late MSA;MSA/ Later MSA;Southern African
MSA;Late Pietersburg;MSA/ Late Pietersburg;Southern African
MSA;MSA;MSA;Africa
MSA;MSA 1;MSA/ MSA 1;Southern African
MSA;MSA 2a;MSA/ MSA 2a;Southern African
MSA;MSA 2b;MSA/ MSA 2b;Southern African
MSA;MSA 3;MSA/ MSA 3;Southern African
MSA;MSA 4;MSA/ MSA 4;Southern African
MSA;Middle Pietersburg;MSA/ Middle Pietersburg;Southern African
MSA;Mossel Bay;MSA/ Mossel Bay;Southern African
MSA;Pietersburg;MSA/ Pietersburg;Southern African
MSA;Post-Howiesonspoort;MSA/ Post-Howiesonspoort;Southern African
MSA;Post-Still Bay;MSA/ Post-Still Bay;Southern African
MSA;Pre-Howiesonspoort;MSA/ Pre-Howiesonspoort;Southern African
MSA;Pre-Still Bay;MSA/ Pre-Still Bay;Southern African
MSA;Still Bay;MSA/ Still Bay;Southern African
MSA/LSA;MSA/LSA;MSA/LSA;Africa
MSA/LSA;Magosian;LSA/ Magosian;Africa
Mesolithic;Capsian;NP/ Capsian;North Africa
Mesolithic;Early Acacus;NP/ Early Acacus;North Africa
Mesolithic;Late Acacus;NP/ Late Acacus;North Africa
Mesolithic;Mesolithic;NP/ Mesolithic;Europe
Microlithic;Microlithic - S Asia;UP/ Microlithic  - S Asia;S Asia
Middle Paleolithic;Aterian;MP/ Aterian;North Africa
Middle Paleolithic;Charentian La Ferrassie;MP/ Charentian La Ferrassie;Eurasia
